Mementos,URI-Rs
0,401
1,190
2,90
3,50
4,28
5,23
6,13
7,11
8,7
9,14
10,10
11,9
12,5
13,5
14,1
15,2
16,4
17,1
19,1
20,3
21,1
22,2
23,6
24,2
25,3
27,1
28,1
29,3
30,2
31,2
32,1
33,1
34,2
35,1
36,1
39,1
42,1
43,2
45,1
46,1
47,1
48,1
49,1
50,1
53,1
54,1
56,1
57,2
59,1
60,2
61,3
62,1
70,1
71,2
73,1
80,1
81,1
82,1
100,3
110,1
113,2
122,1
123,1
127,1
132,1
136,1
142,1
143,1
161,1
169,1
173,1
174,1
176,1
181,1
192,1
195,1
198,1
216,1
223,1
225,1
229,1
233,1
235,1
236,1
244,1
245,2
258,1
284,1
318,1
319,1
331,1
334,1
354,1
357,1
390,1
392,1
396,1
412,1
470,1
525,2
530,1
540,1
583,1
635,1
640,1
1335,1
1448,1
1478,1
1536,1
1609,1
1824,1
2129,1
2294,1
2405,1
2843,1
3715,2
3816,1
4866,1
5717,1
10000,1
17359,1
17660,1
26451,2
47180,1
100356,1
