days,mementos
1,1
1,1
1,1
1,3
1,1
1,1
1,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
1,1
1,1
1,1
1,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
1,2
1,2
1,2
1,1
1,3
1,1
1,1
1,1
1,1
1,1
1,1
1,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,12
1,1
1,1
1,5
1,1
1,1
1,1
1,1
1,1
1,7
1,5
1,2
1,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
1,2
1,2
1,1
1,1
1,13
1,1
1,1
1,2
1,2
1,1
1,1
1,3
1,3
1,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
1,2
1,1
1,1
1,1
1,1
1,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,12
1,1
1,1
1,1
1,1
1,3
1,1
1,1
1,1
1,2
1,1
1,1
1,3
1,2
1,1
1,1
1,1
1,1
1,1
1,2
1,1
1,1
1,1
1,4
1,1
1,1
1,1
1,2
1,1
1,4
1,1
1,1
1,1
1,2
1,3
1,1
1,2
1,2
1,1
1,1
1,1
1,1
1,1
1,2
1,1
1,1
1,5
1,3
1,1
1,2
1,1
1,1
1,1
2,1
2,1
2,5
2,6
2,7
2,2
2,1
2,1
2,12
2,2
2,2
2,5
2,1
2,2
2,9
2,5
2,2
2,45
2,1
2,2
2,1
2,20
2,3
2,4
2,1
2,1
2,2
2,2
2,6
2,2
2,2
2,2
2,3
2,3
2,1
2,6
2,2
2,4
2,2
2,3
2,2
2,3
2,3
2,4
2,1
2,1
2,5
2,1
2,1
2,2
2,4
2,2
2,1
2,12
2,2
2,2
2,2
2,1
2,1
2,1
2,8
2,3
2,5
2,2
2,7
2,2
2,11
2,8
2,1
2,7
2,3
2,3
2,5
2,16
2,5
2,1
2,3
2,2
2,2
2,2
2,2
2,1
2,1
2,1
2,3
2,5
2,2
2,2
2,1
2,11
2,1
2,2
2,8
2,2
2,9
2,2
2,2
2,2
2,5
2,2
2,11
2,4
2,1
2,1
2,10
2,2
2,6
2,5
2,2
2,3
2,3
2,3
2,2
2,4
2,2
2,5
2,1
2,2
2,4
2,3
2,11
2,5
2,2
2,1
2,1
2,8
2,4
2,9
2,11
2,5
2,3
2,1
2,3
2,7
2,9
2,3
2,3
2,6
2,1
2,3
2,2
2,2
3,1
3,9
3,10
3,1
3,3
3,10
3,9
3,7
3,3
3,3
3,2
3,1
3,3
3,3
3,3
3,71
3,1
3,42
3,12
3,13
3,13
3,1
3,13
3,2
3,6
3,6
3,11
3,4
3,1
3,3
3,5
3,3
3,9
3,4
3,2
3,3
3,1
3,6
3,6
4,6
4,10
4,2
4,5
4,4
4,2
4,2
4,9
4,25
4,3
4,9
4,10
4,5
4,1
5,1
5,3
5,2
5,2
5,1
6,1
6,2
6,1
6,10
7,6
7,9
7,4
7,2
7,4
7,8
7,2
7,3
7,31
7,11
8,4
8,8
8,5
8,3
9,5
9,1
9,31
9,1
10,2
10,82
10,1
10,30
11,1
11,7
12,33
12,1
12,10
13,2
13,3
14,22
14,34
15,4
15,5
15,2
15,2
15,9
15,19
15,15
16,319
16,57
16,1
16,3
16,3
17,24
17,34
17,27
18,4
20,1
21,100
21,30
21,1
22,29
22,4
24,6
26,1
28,8
28,4
31,5
31,2
31,3
32,113
36,9
37,4
41,47
42,169
42,123
43,258
44,1
44,530
47,50
49,334
49,1
51,71
52,392
52,9
53,1
53,192
53,2
58,1
62,70
63,1
66,57
71,10
73,25
76,235
77,1
79,61
80,161
81,16
83,245
83,245
86,4
90,390
93,223
94,59
97,174
101,540
101,1
102,2
104,3
108,81
117,20
117,1
117,2
117,6
119,48
125,3
129,9
134,10
142,23
145,20
149,16
149,2129
158,7
162,56
167,4
168,46
176,54
190,3
195,4
199,10
199,470
200,60
201,4
206,43
209,3
210,2294
211,7
212,22
218,60
223,53
237,16
238,2
243,2
247,244
248,396
258,23
261,4
262,4
263,236
274,15
276,181
281,583
287,11
290,13
295,173
296,28
298,17
305,39
309,3816
311,21
312,1824
315,127
317,2405
318,7
318,110
319,354
320,73
323,11
327,3
328,113
328,7
329,1448
329,136
330,142
330,132
330,25
331,640
331,62
332,24
334,195
336,61
336,61
336,198
337,36
337,525
337,49
340,1609
342,233
342,5717
342,14
343,635
346,3715
346,3715
347,412
348,318
348,143
351,357
359,122
363,29
372,284
374,331
375,80
378,229
394,26451
394,26451
398,1478
419,4
542,23
750,43
926,100
960,23
1005,29
1084,35
1084,23
1330,2843
2160,100
2373,23
2654,176
2850,525
2972,1335
3432,4866
4372,32
5362,10000
6181,225
6990,216
7387,47180
8112,1536
8112,17660
8334,100356
8827,17359
